,Event Index,Participant Public ID,Task Version,branch-hzku,Question Key,Response
0,1,5cc72cceccedf40017cad7f0,1.0,eligible,BEGIN QUESTIONNAIRE,
1,2,5cc72cceccedf40017cad7f0,1.0,eligible,response-1,18
2,3,5cc72cceccedf40017cad7f0,1.0,eligible,sex,Male
3,4,5cc72cceccedf40017cad7f0,1.0,eligible,sex-quantised,1
4,5,5cc72cceccedf40017cad7f0,1.0,eligible,pswq1,2
5,6,5cc72cceccedf40017cad7f0,1.0,eligible,sex-text,
6,7,5cc72cceccedf40017cad7f0,1.0,eligible,pswq1-quantised,2
7,8,5cc72cceccedf40017cad7f0,1.0,eligible,pswq2,5
8,9,5cc72cceccedf40017cad7f0,1.0,eligible,pswq3,1
9,10,5cc72cceccedf40017cad7f0,1.0,eligible,pswq2-quantised,5
10,11,5cc72cceccedf40017cad7f0,1.0,eligible,pswq4,4
11,12,5cc72cceccedf40017cad7f0,1.0,eligible,pswq3-quantised,1
12,13,5cc72cceccedf40017cad7f0,1.0,eligible,pswq4-quantised,4
13,14,5cc72cceccedf40017cad7f0,1.0,eligible,pswq5,5
14,15,5cc72cceccedf40017cad7f0,1.0,eligible,pswq5-quantised,5
15,16,5cc72cceccedf40017cad7f0,1.0,eligible,pswq6,4
16,17,5cc72cceccedf40017cad7f0,1.0,eligible,pswq6-quantised,4
17,18,5cc72cceccedf40017cad7f0,1.0,eligible,pswq7,3
18,19,5cc72cceccedf40017cad7f0,1.0,eligible,pswq7-quantised,3
19,20,5cc72cceccedf40017cad7f0,1.0,eligible,pswq8,2
20,21,5cc72cceccedf40017cad7f0,1.0,eligible,pswq8-quantised,2
21,22,5cc72cceccedf40017cad7f0,1.0,eligible,pswq9,4
22,23,5cc72cceccedf40017cad7f0,1.0,eligible,pswq10,1
23,24,5cc72cceccedf40017cad7f0,1.0,eligible,pswq10-quantised,1
24,25,5cc72cceccedf40017cad7f0,1.0,eligible,pswq11,2
25,26,5cc72cceccedf40017cad7f0,1.0,eligible,pswq9-quantised,4
26,27,5cc72cceccedf40017cad7f0,1.0,eligible,pswq11-quantised,2
27,28,5cc72cceccedf40017cad7f0,1.0,eligible,pswq12,5
28,29,5cc72cceccedf40017cad7f0,1.0,eligible,pswq12-quantised,5
29,30,5cc72cceccedf40017cad7f0,1.0,eligible,pswq13,5
30,31,5cc72cceccedf40017cad7f0,1.0,eligible,pswq13-quantised,5
31,32,5cc72cceccedf40017cad7f0,1.0,eligible,pswq14,2
32,33,5cc72cceccedf40017cad7f0,1.0,eligible,pswq14-quantised,2
33,34,5cc72cceccedf40017cad7f0,1.0,eligible,pswq15,3
34,35,5cc72cceccedf40017cad7f0,1.0,eligible,pswq15-quantised,3
35,36,5cc72cceccedf40017cad7f0,1.0,eligible,pswq16,5
36,37,5cc72cceccedf40017cad7f0,1.0,eligible,response-3-quantised,5
37,38,5cc72cceccedf40017cad7f0,1.0,eligible,END QUESTIONNAIRE,138442
38,1,5d3f3ad1afe77e0001c43c55,1.0,eligible,BEGIN QUESTIONNAIRE,
39,2,5d3f3ad1afe77e0001c43c55,1.0,eligible,response-1,18
40,3,5d3f3ad1afe77e0001c43c55,1.0,eligible,sex,Female
41,4,5d3f3ad1afe77e0001c43c55,1.0,eligible,sex-quantised,2
42,5,5d3f3ad1afe77e0001c43c55,1.0,eligible,sex-text,
43,6,5d3f3ad1afe77e0001c43c55,1.0,eligible,pswq1,4
44,7,5d3f3ad1afe77e0001c43c55,1.0,eligible,pswq1-quantised,4
45,8,5d3f3ad1afe77e0001c43c55,1.0,eligible,pswq2,2
46,9,5d3f3ad1afe77e0001c43c55,1.0,eligible,pswq2-quantised,2
47,10,5d3f3ad1afe77e0001c43c55,1.0,eligible,pswq3-quantised,4
48,11,5d3f3ad1afe77e0001c43c55,1.0,eligible,pswq3,4
49,12,5d3f3ad1afe77e0001c43c55,1.0,eligible,pswq4-quantised,1
